# name = name of planet
# star_teff = effective temperature of star [K]
# star_radius = radius of star [solar radii]
# planet_a = semimajor axis of planet's orbit [AU]
# planet_radius = radius of planet [Earth radii]

           name | star_teff | star_radius |         planet_a | planet_radius
         K2-37b |    5413.0 |        0.85 |  0.0450505912181 |          1.61
         K2-37c |    5413.0 |        0.85 |  0.0533493843372 |          2.75
         K2-37d |    5413.0 |        0.85 |   0.103537323677 |          2.73
         K2-38b |    5757.0 |         1.1 |  0.0516524322428 |          1.55
         K2-38c |    5757.0 |         1.1 |   0.133989477699 |          2.42
         K2-39b |    4912.0 |        2.93 |  0.0573903029897 |          5.71
          K2-3b |    3896.0 |        0.56 |  0.0666506992469 |          2.18
          K2-3c |    3896.0 |        0.56 |    0.10986951204 |          1.85
          K2-3d |    3896.0 |        0.56 |   0.161680016532 |          1.51
         K2-42b |    4613.0 |        0.64 |  0.0616689827916 |          2.15
         K2-43b |    3939.0 |        0.57 |  0.0378329462953 |          4.13
         K2-44b |    5912.0 |        1.58 |  0.0650812048563 |          2.72
         K2-45b |    4103.0 |        0.45 |  0.0223736375707 |          6.71
         K2-46b |    6256.0 |        1.29 |   0.138177258432 |          2.05
         K2-47b |    5054.0 |        0.76 |   0.177824163638 |          1.89
         K2-48b |    4899.0 |        0.73 |    0.13435781431 |          2.24
         K2-49b |    4175.0 |        0.45 |  0.0308377604566 |          1.93
          K2-4b |    4197.0 |         0.6 |  0.0775204910186 |          2.37
         K2-50b |    4326.0 |        0.55 |  0.0704773527966 |          1.59
         K2-51b |    5452.0 |        1.37 |   0.108595126345 |          12.9
         K2-52b |    6113.0 |        1.49 |  0.0483813875424 |          11.1
         K2-53b |    5269.0 |        0.85 |  0.0974762999458 |           2.5
         K2-54b |    3798.0 |        0.38 |  0.0670308300427 |          1.15
         K2-55b |    4456.0 |        0.63 |  0.0349160835895 |          3.82
         K2-57b |    4434.0 |        0.62 |  0.0744798689844 |           2.1
         K2-58b |    5413.0 |        0.86 |  0.0692147574291 |          2.68
         K2-58c |    5413.0 |        0.86 |  0.0350115747114 |          1.62
         K2-58d |    5413.0 |        0.86 |   0.151695666264 |          1.71
         K2-59b |    5055.0 |        0.73 |   0.135167292428 |          2.41
         K2-59c |    5055.0 |        0.73 |  0.0902823757196 |           2.3
          K2-5b |    3930.0 |        0.57 |  0.0371004868855 |          1.91
          K2-5c |    3930.0 |        0.57 |  0.0413405425295 |          2.26
         K2-60b |    5500.0 |        1.12 |   0.040511128136 |         7.656
         K2-61b |    6293.0 |        1.36 |  0.0391497408603 |          2.48
         K2-62b |    4880.0 |        0.73 |  0.0635584740224 |          2.14
