# These data come from 
# wavelength = in micron
# albedo = reflectivity at this wavelength
#
wavelength |       albedo
0.90100002 |   0.70064491
0.90200001 |   0.70012653
     0.903 |   0.69958127
0.90399998 |   0.69897795
0.90499997 |   0.69838589
0.90600002 |   0.69789886
0.90700001 |   0.69757771
0.90799999 |   0.69734943
0.90899998 |   0.69710755
0.91000003 |   0.69676638
0.91100001 |   0.69632262
     0.912 |   0.69579375
0.91299999 |   0.69520926
0.91399997 |   0.69464689
0.91500002 |    0.6941964
0.91600001 |   0.69391078
     0.917 |   0.69369632
0.91799998 |   0.69342262
0.91900003 |   0.69299483
0.92000002 |   0.69246072
     0.921 |   0.69190407
0.92199999 |   0.69139278
0.92299998 |   0.69093448
0.92400002 |     0.690521
0.92500001 |   0.69013453
     0.926 |   0.68971753
0.92699999 |   0.68920249
0.92799997 |   0.68854797
0.92900002 |   0.68781745
0.93000001 |   0.68710059
0.93099999 |    0.6864596
0.93199998 |     0.685848
0.93300003 |   0.68519169
0.93400002 |   0.68443608
     0.935 |   0.68360317
0.93599999 |   0.68273401
0.93699998 |   0.68185472
0.93800002 |   0.68093204
0.93900001 |    0.6799174
      0.94 |   0.67877674
0.94099998 |   0.67753404
0.94199997 |   0.67622733
0.94300002 |   0.67486769
0.94400001 |   0.67335784
0.94499999 |   0.67157316
0.94599998 |   0.66945934
0.94700003 |   0.66724283
0.94800001 |   0.66522092
     0.949 |   0.66359138
0.94999999 |   0.66215628
0.95099998 |   0.66061884
0.95200002 |   0.65874404
0.95300001 |   0.65655094
     0.954 |   0.65411913
0.95499998 |   0.65153778
0.95599997 |   0.64893162
0.95700002 |   0.64643425
     0.958 |   0.64415443
0.95899999 |    0.6420998
0.95999998 |   0.64025271
0.96100003 |   0.63856095
0.96200001 |   0.63683265
     0.963 |   0.63484085
0.96399999 |   0.63243335
0.96499997 |   0.62974823
0.96600002 |   0.62699687
0.96700001 |   0.62434655
0.96799999 |   0.62178695
0.96899998 |   0.61926275
0.97000003 |   0.61672395
0.97100002 |   0.61413985
     0.972 |   0.61148459
0.97299999 |   0.60873723
0.97399998 |   0.60589576
0.97500002 |   0.60296267
0.97600001 |   0.59994698
     0.977 |   0.59688598
0.97799999 |   0.59382284
0.97899997 |    0.5907976
0.98000002 |   0.58783776
0.98100001 |   0.58496761
0.98199999 |   0.58219188
0.98299998 |   0.57943523
0.98400003 |   0.57660347
0.98500001 |   0.57364041
     0.986 |   0.57064176
0.98699999 |   0.56774306
0.98799998 |   0.56504488
0.98900002 |   0.56250739
0.99000001 |   0.56005633
     0.991 |   0.55760902
0.99199998 |   0.55504835
0.99299997 |   0.55224872
0.99400002 |   0.54915214
     0.995 |   0.54596925
0.99599999 |   0.54297668
0.99699998 |   0.54038012
0.99800003 |   0.53809649
0.99900001 |   0.53597015
       1.0 |   0.53387934
     1.001 |   0.53183365
     1.002 |   0.52987808
     1.003 |   0.52804106
 1.0039999 |   0.52629125
     1.005 |    0.5245797
     1.006 |   0.52286941
     1.007 |   0.52116191
     1.008 |   0.51946622
 1.0089999 |   0.51780474
      1.01 |   0.51624101
     1.011 |   0.51484871
     1.012 |   0.51367414
     1.013 |   0.51264799
 1.0140001 |   0.51167113
     1.015 |   0.51064616
     1.016 |   0.50953531
     1.017 |   0.50843269
     1.018 |   0.50745142
 1.0190001 |   0.50666595
      1.02 |   0.50606096
     1.021 |    0.5056113
     1.022 |   0.50529224
     1.023 |    0.5050779
     1.024 |    0.5049445
     1.025 |   0.50488496
     1.026 |   0.50493139
     1.027 |   0.50512081
     1.028 |   0.50547045
     1.029 |   0.50594956
      1.03 |   0.50652313
     1.031 |   0.50715733
 1.0319999 |   0.50782251
     1.033 |   0.50848979
     1.034 |   0.50915819
     1.035 |   0.50988805
     1.036 |    0.5107494
 1.0369999 |    0.5117808
     1.038 |   0.51295543
     1.039 |   0.51423711
      1.04 |   0.51559269
     1.041 |   0.51699734
 1.0420001 |   0.51842529
     1.043 |   0.51987743
     1.044 |    0.5214051
     1.045 |   0.52306974
     1.046 |   0.52489549
 1.0470001 |   0.52683055
     1.048 |   0.52881318
     1.049 |   0.53080422
      1.05 |   0.53281903
     1.051 |   0.53487778
     1.052 |   0.53698766
     1.053 |   0.53912264
     1.054 |   0.54125303
 1.0549999 |   0.54336381
     1.056 |   0.54547387
     1.057 |   0.54760641
     1.058 |    0.5497703
     1.059 |   0.55194193
 1.0599999 |     0.554093
     1.061 |   0.55620503
     1.062 |   0.55828637
     1.063 |   0.56034738
     1.064 |   0.56238568
 1.0650001 |    0.5643751
     1.066 |   0.56628293
     1.067 |    0.5680849
     1.068 |   0.56977326
     1.069 |   0.57134145
 1.0700001 |   0.57279414
     1.071 |   0.57415766
     1.072 |    0.5754618
     1.073 |   0.57672495
     1.074 |   0.57793891
     1.075 |   0.57909262
     1.076 |   0.58016533
     1.077 |   0.58111268
 1.0779999 |   0.58188975
     1.079 |   0.58248323
      1.08 |   0.58295751
     1.081 |   0.58338541
     1.082 |   0.58380544
 1.0829999 |    0.5841791
     1.084 |   0.58445781
     1.085 |   0.58460838
     1.086 |   0.58463854
     1.087 |    0.5845592
 1.0880001 |   0.58438152
     1.089 |   0.58411485
      1.09 |   0.58376825
     1.091 |    0.5833568
     1.092 |   0.58290488
 1.0930001 |    0.5824402
     1.094 |   0.58196813
     1.095 |    0.5814473
     1.096 |   0.58082843
     1.097 |   0.58009684
     1.098 |   0.57930809
     1.099 |   0.57852787
