 pressure | temperature |   density | altitude
1.846e-05 |       161.0 | 3.184e-06 |    247.2
2.158e-05 |       156.8 | 3.821e-06 |   243.34
2.528e-05 |       155.6 |  4.51e-06 |   239.49
2.958e-05 |       156.8 | 5.239e-06 |   235.65
3.465e-05 |       155.2 |   6.2e-06 |   231.82
 4.05e-05 |       158.6 | 7.092e-06 |    228.0
4.716e-05 |       160.7 | 8.153e-06 |   224.19
5.504e-05 |       156.6 | 9.766e-06 |    220.4
6.413e-05 |       160.1 | 1.113e-05 |   216.61
7.472e-05 |       157.9 | 1.315e-05 |   212.84
8.698e-05 |       159.5 | 1.515e-05 |   209.08
0.0001012 |       158.6 | 1.772e-05 |   205.33
0.0001178 |       157.5 | 2.078e-05 |    201.6
 0.000137 |       158.7 | 2.398e-05 |   197.88
0.0001593 |       158.5 | 2.791e-05 |   194.17
0.0001846 |       161.5 | 3.175e-05 |   190.48
0.0002142 |       157.5 | 3.778e-05 |    186.8
0.0002484 |       159.0 | 4.342e-05 |   183.15
0.0002881 |       157.4 | 5.087e-05 |   179.51
 0.000334 |       158.6 | 5.852e-05 |   175.88
0.0003858 |       162.3 | 6.606e-05 |   172.28
0.0004442 |       165.1 | 7.473e-05 |    168.7
 0.000509 |       169.7 | 8.335e-05 |   165.15
0.0005823 |       168.3 | 9.615e-05 |   161.62
0.0006656 |       168.8 | 0.0001096 |   158.11
0.0007599 |       168.7 | 0.0001252 |   154.63
0.0008667 |       168.0 | 0.0001433 |   151.19
0.0009888 |       165.4 | 0.0001661 |   147.78
 0.001128 |       164.6 | 0.0001904 |   144.41
 0.001285 |       162.8 | 0.0002194 |   141.08
 0.001467 |       157.5 | 0.0002588 |   137.79
 0.001675 |       157.3 | 0.0002959 |   134.56
 0.001909 |       156.2 | 0.0003395 |   131.38
 0.002171 |       155.6 | 0.0003876 |   128.26
 0.002466 |       153.3 |  0.000447 |   125.21
 0.002799 |       150.3 | 0.0005173 |   122.23
  0.00317 |       149.8 |  0.000588 |   119.33
 0.003578 |       150.1 | 0.0006623 |   116.51
 0.004023 |       150.2 | 0.0007442 |   113.78
   0.0045 |       152.2 | 0.0008215 |   111.15
 0.005007 |       153.2 |  0.000908 |   108.62
 0.005547 |       152.5 |  0.001011 |   106.19
  0.00612 |       153.7 |  0.001107 |   103.86
 0.006711 |       156.2 |  0.001194 |   101.64
 0.007319 |       158.5 |  0.001283 |   99.519
 0.007943 |       159.6 |  0.001383 |   97.501
  0.00858 |       160.6 |  0.001484 |   95.583
 0.009232 |       160.1 |  0.001602 |   93.762
 0.009898 |       159.7 |  0.001722 |   92.035
  0.01058 |       158.4 |  0.001855 |   90.399
  0.01127 |       157.8 |  0.001984 |   88.849
  0.01197 |       156.5 |  0.002125 |   87.383
  0.01267 |       154.6 |  0.002277 |   85.996
  0.01339 |       153.4 |  0.002425 |   84.685
  0.01411 |       151.5 |  0.002588 |   83.444
  0.01484 |       148.4 |  0.002779 |   82.271
  0.01558 |       147.3 |  0.002937 |   81.162
  0.01632 |       144.0 |  0.003148 |   80.112
  0.01707 |       142.1 |  0.003337 |   79.118
  0.01782 |       140.0 |  0.003537 |   78.177
  0.01857 |       139.3 |  0.003703 |   77.285
  0.01932 |       136.2 |  0.003942 |   76.439
  0.02008 |       133.3 |  0.004185 |   75.635
  0.02084 |       132.2 |   0.00438 |   74.871
  0.02158 |       133.3 |  0.004498 |   74.145
  0.02232 |       132.5 |  0.004681 |   73.452
  0.02305 |       132.9 |   0.00482 |   72.791
  0.02377 |       132.2 |  0.004996 |   72.158
  0.02449 |       133.1 |   0.00511 |   71.551
  0.02518 |       134.5 |  0.005203 |   70.968
  0.02587 |       133.8 |  0.005374 |   70.407
  0.02655 |       134.8 |  0.005475 |   69.866
  0.02723 |       134.0 |  0.005644 |   69.344
  0.02791 |       131.7 |  0.005889 |   68.838
  0.02858 |       131.5 |  0.006041 |   68.349
  0.02926 |       130.1 |  0.006251 |   67.874
  0.02994 |       128.8 |  0.006457 |   67.413
  0.03062 |       128.6 |  0.006616 |   66.965
   0.0313 |       126.4 |  0.006879 |    66.53
  0.03199 |       125.7 |  0.007069 |   66.105
  0.03268 |       125.9 |  0.007215 |   65.691
  0.03336 |       126.6 |   0.00732 |   65.286
  0.03404 |       126.0 |  0.007509 |   64.891
  0.03472 |       126.4 |  0.007634 |   64.504
   0.0354 |       126.6 |  0.007772 |   64.124
  0.03608 |       127.5 |   0.00786 |   63.751
  0.03675 |       129.0 |  0.007914 |   63.385
  0.03742 |       127.9 |  0.008131 |   63.025
   0.0381 |       127.8 |  0.008286 |   62.671
  0.03878 |       126.2 |  0.008538 |   62.321
  0.03947 |       126.3 |  0.008686 |   61.977
  0.04016 |       125.1 |  0.008923 |   61.637
  0.04087 |       124.9 |  0.009089 |   61.302
  0.04157 |       124.3 |  0.009295 |   60.971
  0.04229 |       123.8 |   0.00949 |   60.644
  0.04301 |       122.6 |  0.009744 |   60.321
