  pressure | temperature |    density | altitude
 1.423e-06 |     118.528 | 6.2792e-06 |   72.787
1.4991e-06 |     119.533 | 6.5598e-06 |   72.454
1.5785e-06 |     120.694 | 6.8407e-06 |   72.122
1.6611e-06 |     121.877 | 7.1287e-06 |    71.79
1.7469e-06 |      123.24 | 7.4139e-06 |    71.46
1.8359e-06 |      124.64 | 7.7041e-06 |    71.13
1.9284e-06 |     125.494 | 8.0371e-06 |   70.801
2.0247e-06 |     126.111 | 8.3974e-06 |   70.472
2.1251e-06 |     126.831 | 8.7638e-06 |   70.144
2.2296e-06 |     127.641 | 9.1365e-06 |   69.817
2.3382e-06 |     128.682 |  9.504e-06 |   69.491
2.4513e-06 |     128.879 | 9.9484e-06 |   69.166
2.5694e-06 |     129.269 | 1.0396e-05 |   68.841
2.6928e-06 |     129.036 | 1.0915e-05 |   68.517
2.8227e-06 |     127.451 | 1.1584e-05 |   68.194
2.9597e-06 |     127.188 | 1.2171e-05 |   67.871
3.1041e-06 |     125.477 | 1.2939e-05 |    67.55
3.2572e-06 |     124.028 | 1.3736e-05 |   67.229
3.4199e-06 |     121.925 | 1.4671e-05 |   66.909
 3.595e-06 |     117.743 |  1.597e-05 |   66.589
3.7851e-06 |     113.975 |  1.737e-05 |   66.271
3.9901e-06 |     111.779 | 1.8671e-05 |   65.953
4.2087e-06 |     111.017 | 1.9828e-05 |   65.636
4.4391e-06 |     111.247 | 2.0871e-05 |    65.32
4.6804e-06 |     112.079 | 2.1842e-05 |   65.004
 4.932e-06 |     113.148 | 2.2799e-05 |   64.689
5.1932e-06 |     114.843 | 2.3652e-05 |   64.376
5.4635e-06 |     116.509 | 2.4527e-05 |   64.062
5.7435e-06 |     117.735 | 2.5516e-05 |    63.75
6.0333e-06 |     119.518 | 2.6403e-05 |   63.439
6.3336e-06 |     120.385 | 2.7518e-05 |   63.128
6.6448e-06 |     121.896 | 2.8512e-05 |   62.818
 6.967e-06 |      123.02 | 2.9621e-05 |   62.509
7.3007e-06 |     124.135 | 3.0761e-05 |   62.201
 7.647e-06 |     124.848 | 3.2036e-05 |   61.894
8.0066e-06 |     125.533 |  3.336e-05 |   61.588
8.3788e-06 |     127.065 |  3.449e-05 |   61.282
8.7645e-06 |     127.305 | 3.6009e-05 |   60.977
9.1658e-06 |     127.728 | 3.7533e-05 |   60.673
9.5818e-06 |     128.803 |  3.891e-05 |    60.37
1.0012e-05 |     129.941 | 4.0299e-05 |   60.068
1.0456e-05 |     131.104 | 4.1713e-05 |   59.767
1.0914e-05 |     132.066 | 4.3225e-05 |   59.466
1.1388e-05 |     133.039 | 4.4772e-05 |   59.166
1.1876e-05 |     134.566 | 4.6161e-05 |   58.868
1.2379e-05 |     135.396 | 4.7822e-05 |    58.57
1.2898e-05 |     136.997 | 4.9242e-05 |   58.273
 1.343e-05 |     138.251 |  5.081e-05 |   57.977
1.3978e-05 |     139.667 | 5.2346e-05 |   57.682
 1.454e-05 |     141.129 | 5.3887e-05 |   57.387
1.5117e-05 |     142.533 | 5.5475e-05 |   57.094
 1.571e-05 |     143.955 | 5.7079e-05 |   56.802
1.6318e-05 |     144.835 |  5.893e-05 |    56.51
1.6944e-05 |     145.931 | 6.0731e-05 |    56.22
1.7587e-05 |     146.926 | 6.2609e-05 |    55.93
1.8248e-05 |     148.074 | 6.4457e-05 |   55.641
1.8926e-05 |     149.208 | 6.6344e-05 |   55.353
1.9623e-05 |     149.662 | 6.8579e-05 |   55.067
 2.034e-05 |     150.438 | 7.0719e-05 |   54.781
2.1079e-05 |     150.887 | 7.3068e-05 |   54.496
2.1839e-05 |     151.358 | 7.5467e-05 |   54.212
2.2621e-05 |     151.882 | 7.7901e-05 |   53.929
2.3426e-05 |     152.528 |  8.033e-05 |   53.647
 2.425e-05 |     154.198 | 8.2255e-05 |   53.366
2.5091e-05 |      155.55 | 8.4369e-05 |   53.086
2.5951e-05 |     156.958 | 8.6478e-05 |   52.807
2.6832e-05 |     157.567 | 8.9067e-05 |   52.529
2.7736e-05 |      158.01 |  9.181e-05 |   52.252
2.8662e-05 |     159.135 | 9.4207e-05 |   51.975
2.9611e-05 |     160.009 | 9.6791e-05 |     51.7
3.0581e-05 |     160.814 | 9.9464e-05 |   51.426
3.1574e-05 |     162.003 | 0.00010194 |   51.153
3.2586e-05 |     163.612 | 0.00010417 |   50.881
3.3622e-05 |      163.37 | 0.00010764 |   50.611
3.4688e-05 |     163.409 | 0.00011103 |   50.341
3.5782e-05 |     163.805 | 0.00011426 |   50.072
 3.691e-05 |       162.4 | 0.00011888 |   49.804
 3.808e-05 |     160.875 | 0.00012381 |   49.538
3.9288e-05 |     160.759 | 0.00012782 |   49.272
4.0526e-05 |     161.573 | 0.00013119 |   49.007
4.1794e-05 |     161.761 | 0.00013514 |   48.744
4.3096e-05 |     161.828 | 0.00013929 |   48.482
 4.443e-05 |     162.135 | 0.00014333 |   48.221
4.5798e-05 |     162.457 | 0.00014745 |   47.961
4.7201e-05 |     162.274 | 0.00015214 |   47.702
4.8641e-05 |      162.43 | 0.00015663 |   47.444
5.0117e-05 |     162.572 | 0.00016124 |   47.187
5.1632e-05 |     162.204 | 0.00016649 |   46.932
5.3188e-05 |     162.029 |  0.0001717 |   46.678
5.4783e-05 |       162.4 | 0.00017644 |   46.425
5.6412e-05 |     163.371 |  0.0001806 |   46.173
5.8072e-05 |     164.014 | 0.00018519 |   45.922
5.9768e-05 |     164.323 | 0.00019024 |   45.673
6.1505e-05 |     164.141 | 0.00019599 |   45.425
6.3285e-05 |     163.947 |  0.0002019 |   45.178
6.5104e-05 |     164.897 |  0.0002065 |   44.932
6.6956e-05 |     165.681 | 0.00021137 |   44.687
6.8848e-05 |     165.416 | 0.00021769 |   44.444
7.0782e-05 |     165.835 | 0.00022325 |   44.202
7.2754e-05 |     166.519 | 0.00022852 |   43.961
 7.476e-05 |     167.477 | 0.00023348 |   43.722
  7.68e-05 |     168.299 | 0.00023868 |   43.484
7.8879e-05 |     168.188 |  0.0002453 |   43.247
8.1001e-05 |      168.64 | 0.00025123 |   43.011
8.3158e-05 |     169.889 | 0.00025602 |   42.777
8.5349e-05 |     170.154 | 0.00026236 |   42.544
